"script_name","run_time","red","green","blue","x_coordinate","y_coordinate","finished"
"xwd-convert.sh",209.0,20,21,22,1946,1281,1515976684.997826
"xwd-convert.sh",242.0,45,42,46,1620,652,1515976685.355829
"xwd-convert.sh",248.0,45,42,46,1088,783,1515976685.71204
"xwd-convert.sh",246.0,34,31,34,105,733,1515976686.069033
"xwd-convert.sh",246.0,20,21,22,2521,1314,1515976686.432525
"xwd-convert.sh",256.0,20,21,22,2285,638,1515976686.74457
"xwd-convert.sh",208.0,45,42,46,1802,957,1515976687.100439
"xwd-convert.sh",245.0,77,74,78,1122,1087,1515976687.454369
"xwd-convert.sh",242.0,20,21,22,2873,433,1515976687.805643
"xwd-convert.sh",240.0,45,42,46,1569,759,1515976688.15538
"xwd-convert.sh",239.0,45,42,46,1702,630,1515976688.476375
"xwd-convert.sh",211.0,20,21,22,2752,1298,1515976688.795268
"xwd-convert.sh",211.0,45,42,46,1444,946,1515976689.15573
"xwd-convert.sh",250.0,45,42,46,791,1365,1515976689.528383
"xwd-convert.sh",262.0,34,31,34,70,502,1515976689.886236
"xwd-convert.sh",247.0,34,31,34,122,818,1515976690.226501
"xwd-convert.sh",230.0,45,42,46,1537,792,1515976690.594034
"xwd-convert.sh",257.0,45,42,46,1361,743,1515976690.945737
"xwd-convert.sh",241.0,45,42,46,1055,830,1515976690.945885
"xwd-convert-chained.py",209.400177002,45,42,46,803,610,1515976696.644048
"xwd-convert-chained.py",225.1329422,20,21,22,2777,1033,1515976697.000887
"xwd-convert-chained.py",237.15591430700002,45,42,46,1049,1265,1515976697.38441
"xwd-convert-chained.py",242.990016937,20,21,22,2231,760,1515976697.747121
"xwd-convert-chained.py",222.290039062,148,148,144,2799,1254,1515976698.072662
"xwd-convert-chained.py",210.345983505,45,42,46,1080,508,1515976698.445409
"xwd-convert-chained.py",230.473995209,20,21,22,2859,938,1515976698.809676
"xwd-convert-chained.py",222.013950348,45,42,46,1537,704,1515976699.132718
"xwd-convert-chained.py",208.698034286,45,42,46,274,1339,1515976699.456017
"xwd-convert-chained.py",207.96513557400002,20,21,22,2694,1132,1515976699.830071
"xwd-convert-chained.py",234.050989151,45,42,46,1236,1082,1515976700.190338
"xwd-convert-chained.py",219.362020493,20,21,22,2372,978,1515976700.549294
"xwd-convert-chained.py",217.881917953,62,60,63,1796,937,1515976700.920413
"xwd-convert-chained.py",229.951858521,20,21,22,2637,1109,1515976701.243056
"xwd-convert-chained.py",209.542036057,45,42,46,205,1185,1515976701.575798
"xwd-convert-chained.py",207.670927048,45,42,46,789,882,1515976701.910254
"xwd-convert-chained.py",215.98792076100003,20,21,22,2038,440,1515976702.274854
"xwd-convert-chained.py",224.51400756799998,20,21,22,2889,589,1515976702.621733
"xwd-convert-chained.py",206.454992294,20,21,22,2085,1318,1515976702.980515
"xwd-convert-chained.py",218.91283989,45,42,46,830,944,1515976703.34261
"xwd-convert-chained.py",221.48704528800002,45,42,46,1378,860,1515976703.693935
"xwd-convert-chained.py",233.378171921,34,31,34,67,498,1515976704.012959
"xwd-convert-chained.py",207.34500885,20,21,22,2388,566,1515976704.365433
"xwd-convert-chained.py",211.000919342,45,42,46,342,645,1515976704.726401
"xwd-convert-chained.py",218.266010284,20,21,22,2351,890,1515976705.0845
"xwd-convert-chained.py",216.597080231,45,42,46,198,1189,1515976705.409539
"xwd-convert-chained.py",208.131790161,45,42,46,1691,1163,1515976705.734277
"xwd-convert-chained.py",207.031011581,20,21,22,2470,834,1515976706.054703
"xwd-convert-chained.py",208.45580101,45,42,46,1383,1186,1515976706.422527
"xwd-convert-chained.py",226.850986481,20,21,22,2912,517,1515976706.796099
"xwd-convert-chained.py",241.138935089,45,42,46,1467,539,1515976707.115838
"xwd-convert-chained.py",206.735134125,45,42,46,908,1244,1515976707.474345
"xwd-convert-chained.py",236.23895645099998,45,42,46,1240,753,1515976707.834731
"xwd-convert-chained.py",218.555927277,45,42,46,1669,1353,1515976708.204012
"xwd-convert-chained.py",228.94906997700002,34,31,34,242,891,1515976708.558052
"xwd-convert-chained.py",228.73210907,45,42,46,1856,1389,1515976708.928239
"xwd-convert-chained.py",229.234933853,45,42,46,1649,1162,1515976709.247492
"xwd-convert-chained.py",207.052946091,20,21,22,2689,934,1515976709.616389
"xwd-convert-chained.py",226.30405426,45,42,46,1643,639,1515976709.942949
"xwd-convert-chained.py",212.416172028,47,52,63,265,453,1515976710.310656
"xwd-convert-chained.py",225.160837173,34,31,34,183,523,1515976710.675902
"xwd-convert-chained.py",225.169897079,20,21,22,2632,634,1515976711.042803
"xwd-convert-chained.py",227.025032043,45,42,46,1015,1267,1515976711.410926
